ID,SurveyGroup,IntakeDate,ProgramParticipation,City,County,IntakeBusinessStatus,BusinessStartDate,BusinessDescription,LoanClient,Experience,ChangeExperience,MatchedNeeds,PleaseExplain2,ServicesIdeas,SupportIdeas,DEI1,DEI2,DEI3,DEI4,DEI5,DEI6,DEIDescriptionRate,OwnBusiness,HaveYouEverBeenInBusiness,StillOwn,WhyNoBusiness,NotStartDescision,PleaseExplain3,StartDecision,PleaseExplain,StartBusiness,ProductService,MonthAndYear,BusinessStartReason,MonthAndYearStop,BusinessStopReason,BusinessRestart,PivotAbility,PivotWEV,Elaborate1,ExpandBusiness,ProgramIdeas,FullTimePartTime,BizSalesIntake,GrossSales,SalesUnknownOrRefused,ProfitLoss,ProfitLossAtIntake,NetProfit,ProfitLossUnknownOrRefused,OwnersDrawAtIntake,BizIncomeUse,DrawUnknownOrRefused,DrawPrimaryIncome,JobsAtIntakebesidesOwner,FTEAmount,FTEmployeesUnknownOrRefused,PTEAmount,PTEmployeesUnknownOrRefused,FundingProgram1,FundingProgram2,FundingProgram3,FundingProgram4,FundingProgram5,FundingProgram6,FundingProgram7,FundingProgram8,FundingProgram9,Elaborate2,FundingSource1,FundingSource2,FundingSource3,Employment1,Employment2,Employment3,Employment4,Elaborate3,Household1,Household2,Household3,Household4,Household5,Household6,Household7,FinancialHealth1,FinancialHealth2,FinancialHealth3,WEVGotNews,Content,WEVGotNews2,Entrepreneur1,Entrepreneur2,Entrepreneur3,Entrepreneur4,Entrepreneur5,WrapUp,SurveyDate
8334870,1-Year,4/9/2020,"Funding, Advisory",Ventura,Ventura,Ongoing (In business more than one year with sales),1/1/1994,"Salon, day spa, retail",Yes,"It was positive. They did a great job, it was quick. Got the loan in the matter of a couple days and it was a great job. Paid it back very fast.",,Yes,,,A Combination,Agree,4.0,Disagree,2.0,Agree,4.0,No.,Yes,,Yes,,,,,,,Own a salon and day spa,01/1994,Husband was hairstylist,,,,Yes,Yes,Had no income and they helped immediately with loan.,None,None,Full time,"605,000.00","250,000.00",No,Loss,"32,000.00","30,000.00",No,"135,000.00",0.00,No,,4,0,No,7,No,,,0.00,,0.00,,0.00,,0.00,,CA Relief grant,CA relief grant,"15,000.00",No,,Unemployed and NOT seeking employment,,,5,5,No,"135,000.00","200,000.00",No,,"Paid off personal loans/credit card debt, Created a personal budget, Improved credit score",,Yes,I don't receive the newsletter,,Yes,No,,,,,,8/18/2022
8349810,1-Year,1/8/2001,"Funding, Training, Advisory",Santa Barbara,Santa Barbara,Pre-business (No business or idea only),1/1/2001,,Yes,"Really great. Did WEV class before business, didn't take advantage of grant opportunities at the time. had a good experience there, Dawn became her first client. Dawn's partner is a landscaper, and that began her career. They just published a book 2 years ago that was successful. WEV helped her out during the pandemic when there was no work. Used WEV for $5000 loan in covid.",,Yes,,"When setting up a business, would have encouragement to set up a vehicle for retirement (roth ira, etc). When you own a business, you're in charge of that. At least a mention would be good.",A Combination,Strongly Agree,5.0,Agree,4.0,Strongly Agree,5.0,"No, had a great experience.",Yes,,Yes,,,,,,,"Commercial photographer, working with architects and designers.",01/2001,Went to school for photography,,,,Yes,No,No.,None,None,Full time,,"76,000.00",No,Profit,,"55,000.00",No,,"55,000.00",No,,,0,No,0,No,,,0.00,,0.00,,0.00,,0.00,,None,,,No,,Unemployed and NOT seeking employment,,,4,4,No,"20,000.00","55,000.00",No,,"Paid off personal loans/credit card debt, Improved credit score","3,000.00",No,I receive the newsletter and always read it,A financial planning aspect.,,No,,,,,,8/18/2022
5495137,1-Year,2/14/2018,"Training, Advisory",Santa Barbara,Santa Barbara,Startup (In business less than one year with sales),11/1/2017,Mental health private pratice therapist (LCSW),No,"Took a class that helps running a business. Got a lot out of it, such as marketing and budget.","Liked to have learned more about taxes and retirement, health insurance.",Yes,,Awesome if there was something along the lines of therapists/therapy.,Online,Agree,4.0,Neutral,3.0,Strongly Agree,5.0,No.,Yes,,Yes,,,,,,,"Psychotherapist in private practice, provide therapy to children, youth, and adults.",11/2017,Give back to community,,,,Yes,Yes,Helped with grants during pandemic.,None,"Personal finance, Business accounting, Follow up of financials",Full time,0.00,,Yes,I don't know,,,Yes,0.00,,Yes,I don't know,0,0,No,0,No,No,,0.00,,0.00,,0.00,,0.00,,"SBA EIDL (Disaster loan), SBA PPP loan","SBA EIDL (Disaster loan), SBA PPP loan","EIDL - $6,000
PPP - $10,00",No,,Unemployed and NOT seeking employment,,,1,3,No,"16,624.00",,Yes,I don't know,None,,Yes,I receive the newsletter and sometimes read it,Financial mentorship & budgeting,,No,,,,,,8/17/2022
8356650,1-Year,5/11/2020,"Funding, Training, Advisory",Goleta,Santa Barbara,Ongoing (In business more than one year with sales),8/1/2010,"Martin Materials Solutions, Inc. (""MMS""), a California S Corp created in 2016, manufactures specialty solar cell coverglass and thermal control mirrors for the space industry. Our spaceglass™ products provide a protective barrier  for spacecraft that are critical to mission success. The products are made in the US using ultra-thin, space-grade glass with specialty thin-film coatings to meet mission specific needs.",Yes,It was a good experience. Felt comfortable with the whole process. Happy with information and emails she got.,,Yes,,,Online,Agree,4.0,Agree,4.0,Agree,4.0,No.,Yes,,Yes,,,,,,,Real Estate Company,01/2010,Took over from her aunt,,,,Yes,No,Got loan for more of a backup plan and paid it faster than she got. Got loan for extra security.,None,None,Full time,"52,115.00","200,000.00",No,Profit,"12,200.00",,No,"8,500.00",,Yes,No,0,0,No,1,No,,,0.00,,0.00,,0.00,,0.00,,Grant for Small Business,Grant,Around 10K,No,,Unemployed and NOT seeking employment,,,4,4,No,"8,500.00",,Yes,Higher,Improved credit score,0.00,No,I receive the newsletter and always read it,,,No,,,,,,8/17/2022
8352164,1-Year,5/1/2020,"Funding, Advisory",Santa Barbara,Santa Barbara,Ongoing (In business more than one year with sales),4/1/2009,Dayspa,Yes,"Love WEV and think its amazing. Experience with WEV isn't in depth; WEV was there to help with loan right after closures during covid, and they helped her with money nearly immediately. That was huge and super helpful. Set her up with a high level business consultant and that was really helpful. He helped her navigate some questions she had. She's attended a bunch of their events which are motivating. Think organization is important.","Some classes offered are phenomenal for ppl starting out, it would be nice to see more advanced for people further along.",Yes,,It would be nice to see more advanced classes for people further along.,A Combination,Strongly Agree,5.0,Agree,4.0,Agree,4.0,Really valuable organization.,Yes,,Yes,,,,,,,"Day spa, offers massages, facials body treatments, private parties, spa botique.",04/2009,Leave corporate world,,,,No,,,"Hired employees, Added a new product/service, Widened customer base",None,Full time,"878,520.00","1,400,000.00",No,Profit,"126,251.00","550,000.00",No,"87,000.00",,Yes,Yes,21,12,No,13,No,,,0.00,,0.00,,0.00,,0.00,,SBA EIDL (Disaster loan),SBA EIDL (Disaster loan),"2nd round 
Total of $500,000 with initial draw",No,,Unemployed and NOT seeking employment,,,4,4,No,"87,000.00","700,000.00",No,,Paid off personal loans/credit card debt,,Yes,I receive the newsletter and always read it,Anything targeted at established business owners. Advanced materials about expansion and franchesing.,,No,,,,,,8/16/2022
8536546,1-Year,10/20/2020,"Training, Advisory",Santa Barbara,Santa Barbara,Pre-business (No business or idea only),,,No,"Was awesome, a couple years now. It was during COVID, and they were all remote, a wonderful experience.","Wasn't anybody's fault, would've been beneficial for in person. Being in groups consistently (same group of ppl) is helpful bc you get more intimate and see wha they're working on.",Yes,,,A Combination,Strongly Agree,5.0,Agree,4.0,Strongly Agree,5.0,"Pretty straightforward, thinks that she's fairly intimate with WEV as family members do work there and she can see from the back. Phenomenal job at making it a well rounded program thats approachable to people. Such a unique program and she only has positive things to say about.",No,Yes,No,,,,,,,,,Entrepreneurial family,01/2019,Preferred a wage job,I don't know,,,,,,,,,No,,,,No,,,No,,,,No,,No,,,0.00,,0.00,,0.00,,0.00,,,,,Yes,Full-time,Employed,,,1,2,No,"165,934.96","300,000.00",No,,"Paid off personal loans/credit card debt, Created a personal budget, Improved credit score",,Yes,I receive the newsletter and always read it,,,No,,,,,,8/16/2022
8225794,1-Year,2/17/2020,"Training, Advisory",Port Hueneme,Ventura,Pre-business (No business or idea only),,,No,"Took WEV the year of the pandemic, first class to go through Zoom curriculum. Good, but since that happened they weren't able to go in person. More visual, likes to be hands on. As far as what she's learned, she forgot a good chunk. Her business that she had was in limbo.",Nothing.,Yes,,Continuation of everything. More marketing and going back and working with numbers and cash flow more.,A Combination,Agree,4.0,Agree,4.0,Agree,4.0,No.,Yes,,Yes,,,,,,,"Aesthetics studio 
Esthetician - spray tan, lashes, teeth whitening, etc.
Ventura",10/2018,"Wanted to work for myself, not others",,,,Yes,No,Hard bc everything was closed.,"Opened a physical location, Added a new product/service, Created an e-commerce website","""Digital Marketing (online presence, Search Engine Optimization))"", ""Traditional Marketing (print, radio, television)"", Personal finance",Full time,,"30,000.00",No,Loss,,,No,,,Yes,Yes,,0,No,0,No,No,,0.00,,0.00,,0.00,,0.00,,None,,,No,,Unemployed and seeking employment,,,1,1,No,"40,092.00",,Yes,Lower,None,0.00,No,I receive the newsletter and sometimes read it,,,No,,,,,,8/15/2022
8356656,1-Year,5/11/2020,"Funding, Advisory",Simi Valley,Ventura,Ongoing (In business more than one year with sales),4/1/2012,Legal,Yes,"Been great. Helped her get PPP during covid, and helped her hire a full time employee.","Panel to give consultations hasn't been working very well
Only really referred four ppl and only one person contacted her
Maybe needs more hands on it.",Yes,,,Online,Strongly Agree,5.0,Strongly Agree,5.0,Agree,4.0,No.,Yes,,Yes,,,,,,,Own an estate planning law firm,04/2012,"Affordable opportunity for people, especially Latino community",,,,Yes,Yes,One program for loans and that helped take off financial pressure.,Hired employees,None,Full time,"271,925.00","400,000.00",No,N/A - Broke Even,"18,737.00",,No,0.00,"100,000.00",No,,3,1,No,3,No,,,0.00,,0.00,,0.00,,0.00,,None,,,No,,Unemployed and NOT seeking employment,,,4,4,No,"195,189.00","250,000.00",No,,"Paid off personal loans/credit card debt, Met with a financial coach",,Yes,I receive the newsletter and sometimes read it,,,No,,,,,,8/12/2022
1507284,5-Year,2/11/2013,"Training, Advisory",Oak View,Ventura,Ongoing (In business more than one year with sales),10/1/2010,Organic vegetable sales via Community Supported Agriculture program out of Upper Ojai. Interest in expanding size and diversity of crops in order to sell to farmer's markets and local restaurants.,No,"She felt like it was valuable. Only took one class so there was more she could've gotten out of it, but she wasn't prepared at the time to continue.",Might've chosen different curriculum; chose the most beginner one and felt like she spent a lot of time and didn't feel like she wasn't able to improve her business.,No,Wasn't their fault; she chose the wrong class.,"Not sure how to phrase it, programs for people who already have businesses. I told her we added them.",Not interested in future services,Agree,4.0,Agree,4.0,Strongly Agree,5.0,No.,No,Yes,No,,,,,,,,,Passionate about farming,12/2016,Needed to take care of family member / other household concerns,No,,,,,,,"21,200.00",,No,,,,No,"13,100.00",,No,,0,,No,,No,,,0.00,,0.00,,0.00,,0.00,,,,,Yes,Part-time,Employed,,,1,5,No,"13,100.00","100,000.00",No,,None,0.00,No,I don't know,,No,No,,,,,,8/12/2022
1526732,5-Year,1/9/2013,"Training, Advisory",Goleta,Santa Barbara,Startup (In business less than one year with sales),1/1/2013,I am in the process of launching (plan to launch Q1 2013) a small Engineering Services business with three former colleagues.  Our previous employer is discontinuing operations in Santa Barbara county.,No,"Excellent. Took business plan intensive and five and thrive in 2013/2014, and ran into Cathy ODonnel and told her she's still a business because of WEV. Glad it was good experience.",Didn't feel great leaving the class at night because it was an evening class and parking wasn't great.,Yes,,"No, haven't needed anything since then. Recently joined NABO.",Not interested in future services,Agree,4.0,Strongly Agree,5.0,Strongly Agree,5.0,No.,Yes,,Yes,,,,,,,Wind turbine engineering services. Consulting for wind power industry in US and international.,01/2013,Lack of advancement opportunities in my job/career,,,,Yes,No,Had no issues; always remote.,Widened customer base,None,Full time,"26,400.00",,Yes,I don't wish to disclose,,,Yes,0.00,,Yes,No,3,2,No,6,No,No,,0.00,,0.00,,0.00,,0.00,,None,,,No,,Unemployed and NOT seeking employment,,,4,2,No,"300,000.00",,Yes,I don't wish to disclose,"Paid off personal loans/credit card debt, Met with a financial coach",,Yes,I don't receive the newsletter,,Yes,No,,,,,,8/12/2022
1457696,5-Year,2/11/2013,"Training, Advisory",Ojai,Ventura,Pre-business (No business or idea only),,I would like to market my illustrations and creative writing.,No,"It was very positive, and she learned some really helpful things. Think the most important thing that she took away was just the confidence that it gave her to pursue starting her own business.",Nothing.,Yes,,"One thing she is on, is that having maybe like a next step follow up class that people can do after they start their business. I told her about THRIVE.",A Combination,Agree,4.0,Neutral,3.0,Strongly Agree,5.0,"Basing this on her one experience a while ago, so she doesn't have a deep experience to draw on in recent times. At the time, she felt like she was very strongly supported to pursue success the way she defined it.",Yes,,Yes,,,,,,,"Independent artist, so her business involves creating, showing and selling her artwork and products based on it. Also teaches art classes.",07/2013,Make art a priority,,,,Yes,No,"Wrote and published a book during pandemic, didn't do too many other business ventures then.",Added a new product/service,"""Digital Marketing (online presence, Search Engine Optimization))"", ""Traditional Marketing (print, radio, television)"", Learning to use new technologies & SM",Part time,,"7,000.00",No,N/A - Broke Even,,,No,,0.00,No,,0,0,No,0,No,No,,0.00,,0.00,,0.00,,0.00,,None,,,Yes,Part-time,Employed,,,4,3,No,"69,347.00","100,000.00",No,,Improved credit score,"5,000.00",No,I receive the newsletter but rarely read it,Just what she spoke about before.,,No,,,,,,8/9/2022
